timestamp,handle,text,avg_score
2025-06-15 03:32:54-04,@FinMinIndia,"RT by @FinMinIndia: Smt @nsitharaman handed over sanction letters from banks to beneficiaries under various Central Government schemes during the Credit Outreach Programme in Leh, Ladakh. <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Smt <a href=""https://twitter.com/nsitharaman?ref_src=twsrc%5Etfw"">@nsitharaman</a> handed over sanction letters from banks to beneficiaries under various Central Government schemes during the Credit Outreach Programme in Leh, Ladakh. <a href=""https://t.co/Rbnw75ExFT"">pic.twitter.com/Rbnw75ExFT</a></p>— Nirmala Sitharaman Office (@nsitharamanoffc) <a href=""https://twitter.com/nsitharamanoffc/status/1934152119705317823?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.0809273740897576
2025-06-15 03:34:00-04,@nsitharamanoffc,"Loans worth Rs 5.13 crore were disbursed during the Credit Outreach to beneficiaries under different schemes including PM MUDRA, PM Vishwakarma, PMEGP, PM Micro Food Processing Enterprises Scheme (PM FME), Joint Liability Group (JLG) loans, etc. <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Loans worth Rs 5.13 crore were disbursed during the Credit Outreach to beneficiaries under different schemes including PM MUDRA, PM Vishwakarma, PMEGP, PM Micro Food Processing Enterprises Scheme (PM FME), Joint Liability Group (JLG) loans, etc. <a href=""https://t.co/hRFcubtW7W"">https://t.co/hRFcubtW7W</a> <a href=""https://t.co/4UXQigzPKi"">pic.twitter.com/4UXQigzPKi</a></p>— Nirmala Sitharaman Office (@nsitharamanoffc) <a href=""https://twitter.com/nsitharamanoffc/status/1934152488111735197?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.1091158909102281
2025-06-15 03:34:22-04,@FinMinIndia,"RT by @FinMinIndia: Loans worth Rs 5.13 crore were disbursed during the Credit Outreach to beneficiaries under different schemes including PM MUDRA, PM Vishwakarma, PMEGP, PM Micro Food Processing Enterprises Scheme (PM FME), Joint Liability Group (JLG) loans, etc. <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Loans worth Rs 5.13 crore were disbursed during the Credit Outreach to beneficiaries under different schemes including PM MUDRA, PM Vishwakarma, PMEGP, PM Micro Food Processing Enterprises Scheme (PM FME), Joint Liability Group (JLG) loans, etc. <a href=""https://t.co/hRFcubtW7W"">https://t.co/hRFcubtW7W</a> <a href=""https://t.co/4UXQigzPKi"">pic.twitter.com/4UXQigzPKi</a></p>— Nirmala Sitharaman Office (@nsitharamanoffc) <a href=""https://twitter.com/nsitharamanoffc/status/1934152488111735197?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.1036592949181795
2025-06-15 03:37:00-04,@nsitharamanoffc,"Smt @nsitharaman addresses the audience during the Credit Outreach Programme in Leh, Ladakh. <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Smt <a href=""https://twitter.com/nsitharaman?ref_src=twsrc%5Etfw"">@nsitharaman</a> addresses the audience during the Credit Outreach Programme in Leh, Ladakh. <a href=""https://t.co/FVKu1KHzH2"">pic.twitter.com/FVKu1KHzH2</a></p>— Nirmala Sitharaman Office (@nsitharamanoffc) <a href=""https://twitter.com/nsitharamanoffc/status/1934153305405427885?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",-0.002832472945253054
2025-06-15 03:37:37-04,@FinMinIndia,"RT by @FinMinIndia: Smt @nsitharaman addresses the audience during the Credit Outreach Programme in Leh, Ladakh. <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Smt <a href=""https://twitter.com/nsitharaman?ref_src=twsrc%5Etfw"">@nsitharaman</a> addresses the audience during the Credit Outreach Programme in Leh, Ladakh. <a href=""https://t.co/FVKu1KHzH2"">pic.twitter.com/FVKu1KHzH2</a></p>— Nirmala Sitharaman Office (@nsitharamanoffc) <a href=""https://twitter.com/nsitharamanoffc/status/1934153305405427885?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",-0.0007152104129393896
2025-06-15 03:40:00-04,@cz_binance,"Happy Father's Day! If your dad is not in crypto, a few BNB to get them started might be the perfect gift. Just saying... <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Happy Father's Day!<br /><br />If your dad is not in crypto, a few BNB to get them started might be the perfect gift. Just saying... <a href=""https://t.co/lz7x1rucc0"">https://t.co/lz7x1rucc0</a></p>— CZ 🔶 BNB (@cz_binance) <a href=""https://twitter.com/cz_binance/status/1934154026813374810?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.09044608699956111
2025-06-15 03:40:29-04,@cz_binance,"Happy Father's Day! If your dad is not in crypto, a few BNB to get them started might be the perfect gift. Just saying... <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Happy Father's Day!<br /><br />If your dad is not in crypto, a few BNB to get them started might be the perfect gift. Just saying... <a href=""https://t.co/lz7x1rucc0"">https://t.co/lz7x1rucc0</a></p>— CZ 🔶 BNB (@cz_binance) <a href=""https://twitter.com/cz_binance/status/1934154026813374810?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.11504186851282915
2025-06-15 04:35:15-04,@cz_binance,"写的很好，很细。🙏 <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""zh"">写的很好，很细。🙏 <a href=""https://t.co/KV8JhGC1k0"">https://t.co/KV8JhGC1k0</a></p>— CZ 🔶 BNB (@cz_binance) <a href=""https://twitter.com/cz_binance/status/1934167807308054773?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.06343894973397256
2025-06-15 05:16:00-04,@whale_alert,"❄ An address with a balance of 12,369,162 #USDT (12,383,670 USD) has just been frozen! <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">❄  An address with a balance of 12,369,162 <a href=""https://twitter.com/hashtag/USDT?src=hash&amp;ref_src=twsrc%5Etfw"">#USDT</a> (12,383,670 USD) has just been frozen!<a href=""https://t.co/nU14zLthHg"">https://t.co/nU14zLthHg</a></p>— Whale Alert (@whale_alert) <a href=""https://twitter.com/whale_alert/status/1934178285052625342?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",-0.36119488589465615
2025-06-15 05:21:00-04,@nsitharamanoffc,"Smt @nsitharaman interacts with Brigadier (Dr) BD Mishra (Retd), Hon'ble Lieutenant Governor of Ladakh. @lg_ladakh <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Smt <a href=""https://twitter.com/nsitharaman?ref_src=twsrc%5Etfw"">@nsitharaman</a> interacts with Brigadier (Dr) BD Mishra (Retd), Hon'ble Lieutenant Governor of Ladakh. <a href=""https://twitter.com/lg_ladakh?ref_src=twsrc%5Etfw"">@lg_ladakh</a> <a href=""https://t.co/BOu322KWzV"">pic.twitter.com/BOu322KWzV</a></p>— Nirmala Sitharaman Office (@nsitharamanoffc) <a href=""https://twitter.com/nsitharamanoffc/status/1934179485554966696?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",-0.006629234179854393
